Date,Product,Region,Amount
2026-07-20,Soy Candle,Europe,54.00
2026-07-20,Ceramic Mug,Europe,24.00
2026-07-20,Soy Candle,Europe,36.00
2026-07-20,Desk Plant Pot,Europe,28.00
2026-07-20,Notebook Set,North America,45.00
2026-07-20,Leather Card Holder,North America,38.00
2026-07-20,Ceramic Mug,UK,48.00
2026-07-20,Ceramic Mug,Europe,24.00
2026-07-20,Enamel Pin Pack,North America,24.00
2026-07-20,Throw Blanket,Europe,68.00
2026-07-20,Ceramic Mug,North America,24.00
2026-07-20,Soy Candle,Asia Pacific,18.00
2026-07-20,Enamel Pin Pack,UK,12.00
2026-07-20,Linen Tote Bag,Asia Pacific,32.00
2026-07-20,Enamel Pin Pack,Asia Pacific,12.00
2026-07-20,Desk Plant Pot,North America,28.00
2026-07-21,Notebook Set,Europe,15.00
2026-07-21,Linen Tote Bag,Europe,32.00
2026-07-21,Linen Tote Bag,UK,32.00
2026-07-21,Ceramic Mug,Europe,24.00
2026-07-21,Throw Blanket,Asia Pacific,61.20
2026-07-21,Throw Blanket,UK,68.00
2026-07-21,Notebook Set,Europe,15.00
2026-07-21,Soy Candle,UK,18.00
2026-07-21,Ceramic Mug,North America,24.00
2026-07-21,Enamel Pin Pack,Europe,12.00
2026-07-21,Soy Candle,Europe,18.00
2026-07-21,Linen Tote Bag,Europe,32.00
2026-07-21,Linen Tote Bag,Europe,32.00
2026-07-21,Linen Tote Bag,North America,32.00
2026-07-22,Desk Plant Pot,North America,28.00
2026-07-22,Soy Candle,North America,18.00
2026-07-22,Desk Plant Pot,UK,84.00
2026-07-22,Ceramic Mug,North America,43.20
2026-07-22,Leather Card Holder,UK,38.00
2026-07-22,Linen Tote Bag,North America,32.00
2026-07-22,Enamel Pin Pack,Europe,12.00
2026-07-22,Notebook Set,UK,15.00
2026-07-22,Linen Tote Bag,Europe,32.00
2026-07-22,Enamel Pin Pack,Asia Pacific,24.00
2026-07-22,Notebook Set,Europe,15.00
2026-07-22,Notebook Set,North America,13.50
2026-07-22,Soy Candle,North America,36.00
2026-07-22,Enamel Pin Pack,North America,12.00
2026-07-22,Leather Card Holder,Asia Pacific,38.00
2026-07-23,Ceramic Mug,North America,48.00
2026-07-23,Enamel Pin Pack,Asia Pacific,12.00
2026-07-23,Ceramic Mug,UK,24.00
2026-07-23,Linen Tote Bag,North America,32.00
2026-07-23,Leather Card Holder,North America,38.00
2026-07-23,Enamel Pin Pack,North America,12.00
2026-07-23,Linen Tote Bag,North America,32.00
2026-07-23,Leather Card Holder,UK,38.00
2026-07-23,Notebook Set,North America,13.50
2026-07-23,Ceramic Mug,North America,24.00
2026-07-23,Enamel Pin Pack,North America,24.00
2026-07-23,Desk Plant Pot,North America,28.00
2026-07-23,Linen Tote Bag,North America,32.00
2026-07-23,Desk Plant Pot,North America,28.00
2026-07-23,Notebook Set,North America,13.50
2026-07-23,Soy Candle,UK,18.00
2026-07-24,Desk Plant Pot,UK,28.00
2026-07-24,Soy Candle,North America,18.00
2026-07-24,Leather Card Holder,North America,38.00
2026-07-24,Ceramic Mug,Asia Pacific,24.00
2026-07-24,Soy Candle,North America,32.40
2026-07-24,Soy Candle,North America,18.00
2026-07-24,Notebook Set,Asia Pacific,15.00
2026-07-24,Enamel Pin Pack,Europe,10.80
2026-07-24,Soy Candle,North America,18.00
2026-07-24,Notebook Set,North America,15.00
